LATITUD,LONGITUD,DIA_SEMANA,HORA_CASO,DESCRIPCION_CONDUCTA
454822.8574,656958.2483,6,2,9041
457280.4988,651463.9471,6,7,9041
458497.691,652844.0218,6,19,9042
455524.4501,655533.6895,6,20,9042
458473.5451,651220.9873,6,20,9043
459849.3529,649685.4986,7,0,9041
455078.7384,659509.1376,7,0,9042
456549.71,656695.3932,7,1,9041
457440.1319,653620.7731,7,5,9041
450838.4702,647400.2823,7,6,9043
458288.5868,654100.0031,7,23,9043
453314.7728,649235.8316,7,23,9042
456533.6452,657050.6923,1,0,9042
454983.4463,655665.6473,1,2,9042
456224.3811,651863.2118,1,4,9044
457729.3571,652782.0756,1,14,9041
465195.5328,656047.1444,1,15,9044
457168.6945,656642.1141,1,16,9042
460137.8204,650909.4982,1,19,9041
451142.1181,647756.1715,1,20,9042
454945.3198,657117.9062,1,20,9044
459871.1977,649333.5447,1,20,9042
455281.2805,656271.3108,1,21,9041
458860.8167,652601.3725,1,23,9044
450922.0201,647645.5101,2,14,9044
457969.5776,657215.7753,2,17,9041
455045.8162,655607.8056,2,19,9043
459211.0177,653191.3743,2,21,9045
457910.6089,656948.3214,3,11,9045
455781.3214,652047.1573,3,12,9044
455087.2216,659798.8978,3,14,9041
455176.511,659708.8065,3,15,9044
458625.8215,652833.8075,3,17,9042
458796.8709,653405.2506,3,19,9044
456519.5964,653525.7881,3,19,9044
457059.5578,652794.3386,3,20,9043
456644.0475,656645.266,3,20,9044
449275.0414,647380.6495,3,22,9042
455515.3939,655413.8008,3,22,9043
455039.1971,657119.9602,4,1,9044
458757.1708,652129.7289,4,8,9046
455741.902,659241.4848,4,10,9043
456950.9345,656240.6036,4,12,9042
458542.3039,653129.2601,4,14,9044
459110.0342,651770.5339,4,15,9041
457470.9306,654477.7912,4,20,9042
458759.8378,652774.7351,4,22,9042
456834.7237,654985.1603,5,13,9046
455165.2402,655613.147,5,13,9044
456259.6119,651646.6619,5,15,9042
458924.675,651678.7102,5,17,9044
451333.0159,647592.6495,5,20,9042
458673.3855,650603.3901,5,22,9044
456729.98,656531.8714,6,5,9044
456181.8516,653103.3852,6,12,9044
457018.6583,651968.4242,6,16,9041
458660.4413,651178.4794,6,17,9042
459983.2147,649665.2874,6,20,9044
457597.0391,651905.2567,6,21,9041
457390.5951,654252.5616,7,2,9041
458790.1237,654035.8438,7,3,9043
458890.418,652137.2694,7,12,9041
455555.0297,659482.744,7,21,9041
453767.2391,649515.9585,7,21,9044
459698.2925,651665.1615,1,12,9042
456703.222,653954.0079,1,13,9044
456511.9523,653453.638,1,14,9042
459366.9098,651530.2946,1,14,9042
454993.449,657135.5847,1,15,9042
459768.7281,651091.0889,1,20,9044
457585.4021,656127.3486,2,10,9044
458317.0192,657295.089,2,14,9044
453228.4374,649772.2179,2,18,9041
458397.8203,654095.371,2,23,9046
456667.4727,651053.1173,3,6,9044
456612.4822,654038.5419,3,7,9046
456085.9587,653213.4621,3,8,9044
451753.0982,648949.7834,3,9,9042
458411.8184,657008.4883,3,9,9044
456816.1396,652056.4785,3,14,9043
451161.8364,647645.114,3,14,9044
456254.2536,652003.046,3,14,9044
451595.8473,647736.5468,3,17,9042
456209.0726,652219.6136,4,6,9042
458704.4281,651231.6918,4,7,9041
458549.8322,650896.6864,4,10,9042
456227.2914,661426.6725,4,16,9044
457528.7711,657297.6075,6,21,9042
456842.0877,654392.2967,6,22,9042
457899.2712,651678.2584,4,18,9044
460121.2937,650171.278,4,19,9041
454842.1879,656884.9381,4,21,9044
458758.5918,656713.668,4,22,9044
457237.5222,654289.4661,5,11,9044
458774.9366,653950.3866,5,12,9045
450447.4419,647694.0345,5,12,9042
457859.8709,653823.206,5,14,9042
459215.9001,651737.0459,5,14,9044
460036.76,649812.8454,5,18,9042
455386.9329,653906.3403,5,20,9044
456389.4163,653629.2638,5,21,9044
453956.0815,649906.4389,5,23,9042
459698.0362,650618.2847,6,3,9042
452910.4947,659782.8298,6,8,9041
457145.8404,653707.8815,6,12,9044
460160.2201,649916.9879,6,14,9044
454230.991,649537.382,6,20,9042
457924.5031,654047.3515,7,1,9044
456858.6592,656456.1485,7,4,9041
457272.3996,651769.2629,7,4,9044
454529.6743,651840.5837,7,12,9041
458612.6304,650958.748,7,17,9042
457884.6177,652922.7998,7,20,9044
448561.1914,647962.4979,7,20,9044
459946.4791,649260.1468,7,23,9044
455748.9567,659413.5595,1,6,9046
458125.6067,653656.2135,2,9,9042
457380.3508,653831.8146,2,11,9042
458986.9507,653412.6899,2,18,9042
455609.5419,651749.9161,2,20,9044
457457.1217,653408.6964,3,6,9044
457604.5231,656870.0422,3,7,9042
456006.6823,651546.0672,3,9,9041
457506.6043,656957.923,3,11,9044
458928.4176,655900.7074,3,14,9042
451271.2172,647597.1926,3,19,9042
449401.2296,648740.5256,4,8,9046
451091.5053,647705.1837,4,12,9044
456297.9275,652323.8197,4,14,9042
456336.4905,651537.7303,4,20,9043
455943.9086,651627.2198,4,21,9044
455412.5791,660320.1276,4,23,9042
454673.2573,651814.8028,5,9,9041
458994.7884,656848.6897,5,11,9041
457254.1973,651214.2,5,12,9044
458251.07,652302.6823,5,13,9044
452192.6145,648029.7713,5,14,9044
451109.1027,647581.9169,5,17,9042
455724.3834,652178.26,5,20,9042
456695.4927,651853.5202,5,20,9041
447846.0663,639523.3716,5,21,9046
459177.035,653738.7487,5,23,9041
457084.1345,656781.041,6,2,9043
451230.3247,647874.8222,6,7,9046
456080.049,658145.0746,6,12,9044
456489.6145,656538.9588,6,22,9042
457356.45,652101.0648,7,1,9044
457166.2832,651592.9253,7,3,9041
458496.1102,652825.1515,7,7,9045
457219.4106,657119.4152,7,8,9042
450927.487,647340.1821,7,9,9044
453214.0869,649193.8118,7,13,9044
453709.6778,649410.584,7,14,9044
457120.7311,657028.5535,7,15,9042
455884.4858,656736.541,1,4,9044
457818.2681,652215.7266,2,15,9042
458578.7901,653508.878,3,11,9044
455596.3848,651621.1542,3,19,9041
457054.6849,653997.8028,3,20,9046
455360.7369,659533.0552,4,11,9041
458068.4563,652136.4712,4,11,9045
454810.7974,650709.9001,4,12,9043
459040.9931,653461.4432,4,13,9042
457853.7678,652028.0442,4,18,9042
455991.428,659652.934,4,20,9041
456594.5083,651510.6428,4,21,9042
455600.569,651675.5474,4,21,9043
453549.1787,649436.3891,4,21,9042
451410.3924,647714.6487,4,21,9041
458138.989,657349.8072,5,1,9043
450437.0928,647251.059,5,22,9044
451630.7657,647724.2763,6,0,9042
546025.6819,682557.0365,6,1,9043
511845.5607,678299.3381,6,2,9041
537208.8684,681212.0962,6,16,9043
450991.4601,647715.3412,6,20,9042
544401.312,679437.7545,7,1,9044
458076.9204,651016.2865,7,4,9044
451251.944,647576.1298,7,13,9042
458054.1974,652458.4486,7,15,9043
