LATITUD,LONGITUD,DESCRIPCION_CONDUCTA
3.990646197,-73.78047108,2395
3.986985891,-73.76377271,2395
3.986261602,-73.76736071,2691
4.269619699,-73.4865435,2395
4.210927462,-73.58576042,2395
4.242694736,-73.56189948,2393
4.263964919,-73.56260759,2396
4.253137314,-73.56535417,2393
4.261140341,-73.56505376,2395
4.262339297,-73.56333877,2395
4.26359489,-73.56648808,2395
4.263658282,-73.55546218,2395
4.141943944,-73.62644962,2396
4.154350835,-73.62574947,2395
4.177730354,-73.61422077,2395
4.130502988,-73.62007179,2395
4.135352011,-73.62976128,2396
4.146695496,-73.61306704,2395
4.150457154,-73.61414678,2395
4.163892822,-73.66470058,2396
4.152882171,-73.63617468,2395
4.15349858,-73.63621239,2395
4.141161025,-73.623904,2396
4.14595243,-73.64198089,2691
4.08091514,-73.67012565,2396
4.104901814,-73.66434834,2396
4.108136906,-73.65174513,2395
4.120001015,-73.56355563,2395
4.121201678,-73.6334635,2395
4.126512528,-73.6379397,2395
4.129300225,-73.6307652,2395
4.130150657,-73.61747248,2395
4.130492804,-73.63085781,2395
4.131130205,-73.63213858,2395
4.132157383,-73.56238496,2395
4.135108482,-73.63506231,2395
4.135337539,-73.63205894,2396
4.136231385,-73.6233388,2395
4.138675273,-73.61504259,2396
4.141902706,-73.64118183,2395
4.142055126,-73.63625678,2395
4.142894438,-73.58461903,2396
4.146964344,-73.61769511,2395
4.147926887,-73.61978299,2395
4.14815286,-73.63881543,2393
4.150409704,-73.62059471,2395
4.150598747,-73.61341187,2395
4.150649303,-73.63463054,2395
4.15284776,-73.63848263,2395
4.153436639,-73.63345753,2395
4.159479707,-73.6407273,2395
4.162674756,-73.65172219,2395
4.132296495,-73.62544906,2393
4.106496099,-73.59820854,2396
4.134705916,-73.63909614,2395
4.152931173,-73.63752098,2691
4.155793579,-73.63475797,2396
4.080020666,-73.69692456,2396
4.131824656,-73.6103005,2395
4.135048773,-73.63700401,2393
4.139251728,-73.63668084,2395
4.141948689,-73.63960039,2395
4.142312516,-73.63579166,2395
4.264542673,-73.55305892,2395
4.058745513,-73.67405069,2395
4.098427792,-73.64921762,2395
4.138148139,-73.60878827,2395
4.139763054,-73.59391949,2395
4.146629729,-73.6125599,2395
4.079635406,-73.6875261,2395
4.122155296,-73.62159564,2395
4.134383177,-73.61581456,2395
4.140679612,-73.58552325,2395
4.144977013,-73.60950601,2395
4.146187967,-73.60812641,2395
4.15338497,-73.61857145,2395
4.126849622,-73.63844661,2395
4.140647587,-73.5851465,2396
4.147556587,-73.6201347,2395
4.256154508,-73.56988174,2393
4.260198813,-73.56818658,2394
4.124730891,-73.54687106,2691
4.156747776,-73.64041578,2396
4.158857839,-73.63746601,2393
3.989100651,-73.76959858,2395
4.153816255,-73.63514956,2395
4.125514508,-73.62779881,2396
4.130086747,-73.59048646,2396
4.141381545,-73.60695254,2396
3.988418238,-73.76680223,2395
3.999838533,-73.76211286,2395
3.978357926,-73.76070738,2395
3.991274515,-73.757,2395
3.99144757,-73.76527787,2395
4.00735522,-73.77141476,2395
4.130148961,-73.61726771,2396
4.264414283,-73.56486064,2396
4.126478157,-73.638785,2395
4.129874815,-73.63797884,2395
4.139415588,-73.63439691,2395
4.143856512,-73.63452436,2395
4.146902915,-73.61843355,2396
4.152080941,-73.63703214,2395
4.115251139,-73.60873744,2395
4.146079811,-73.62996146,2395
4.144436472,-73.62749902,2396
4.098555701,-73.6405338,2396
4.1104038,-73.66216532,2396
4.134612429,-73.62940195,2691
4.136571215,-73.61826641,2395
4.138822803,-73.63857292,2395
4.141396443,-73.62471939,2395
4.155824969,-73.63473708,2395
4.058445859,-73.67250573,2395
4.071890373,-73.67046725,2395
4.077667568,-73.66948748,2395
4.119379007,-73.62440298,2395
4.119498295,-73.63272513,2396
4.119970813,-73.62877773,2395
4.1212906,-73.62535039,2395
4.123782989,-73.6266809,2395
4.124880706,-73.61946237,2395
4.126488858,-73.54613077,2396
4.126592871,-73.60858333,2395
4.126863394,-73.63201511,2396
4.127164752,-73.61586606,2395
4.129582932,-73.59236971,2395
4.131204998,-73.61098659,2395
4.131359103,-73.63412919,2395
4.133188296,-73.63417559,2395
4.133331811,-73.62403017,2395
4.133460395,-73.6332121,2395
4.1376621,-73.58606086,2393
4.139492313,-73.61151563,2395
4.140632487,-73.64705693,2395
4.141996842,-73.63265347,2395
4.144368173,-73.61040308,2395
4.146746491,-73.60467803,2395
4.147029521,-73.58403973,2395
4.148041837,-73.61772409,2395
4.148513611,-73.60804152,2395
4.14878982,-73.62725677,2395
4.149316987,-73.62855748,2395
4.152103696,-73.62838876,2395
4.152529612,-73.63536717,2395
4.153610417,-73.63456909,2395
4.153618565,-73.60209562,2396
4.154415039,-73.61607206,2395
4.155562147,-73.63054526,2395
4.168197349,-73.61328256,2395
4.121124631,-73.56360068,2393
4.146220311,-73.60941463,2393
4.152230581,-73.63617676,2395
4.115175121,-73.61028201,2395
4.123233173,-73.54180705,2395
4.131872622,-73.63279511,2395
4.132857814,-73.63709298,2395
4.137474816,-73.58408036,2395
4.138252913,-73.58724786,2395
4.139406885,-73.636087,2395
4.140582876,-73.63902204,2395
4.145359887,-73.63497626,2395
4.147886754,-73.64076925,2395
4.149144311,-73.628142,2395
4.160567292,-73.64518706,2396
4.148543946,-73.61142532,2395
4.126635675,-73.63821637,2395
4.116098756,-73.62307205,2396
4.118742546,-73.59896391,2395
4.121017655,-73.62677563,2395
4.124210471,-73.63153666,2395
4.125998594,-73.6150338,2395
4.132566113,-73.62691495,2395
4.153140198,-73.63782003,2395
4.149107501,-73.6289252,2395
4.122267986,-73.63413877,2395
4.127706206,-73.63836658,2395
4.178020308,-73.61856115,2396
4.15076611,-73.64076447,2395
4.142152004,-73.63426816,2395
4.142986667,-73.63823783,2395
3.999410424,-73.77098024,2396
4.260623415,-73.56321658,2393
4.262863407,-73.56262725,2395
4.263527894,-73.56484556,2393
4.133580608,-73.61308944,2395
4.137700454,-73.57922923,2394
4.268968577,-73.48473667,2395
4.268158971,-73.55831605,2396
3.988207394,-73.78026605,2395
3.986041642,-73.76284783,2395
4.152103696,-73.62847459,2395
4.152324612,-73.61460071,2395
4.128938785,-73.65206978,2396
4.131763841,-73.65258476,2396
4.149332216,-73.63577556,2395
4.148971067,-73.63689673,2395
3.985348548,-73.77602939,2396
3.992273608,-73.76047858,2395
4.271210393,-73.48308881,2395
4.27129,-73.48999367,2395
4.133355888,-73.62491798,2396
4.083007272,-73.66407407,2395
4.104922959,-73.64841934,2395
4.130908106,-73.54884304,2395
4.133280148,-73.61305061,2395
4.141365494,-73.63332134,2395
4.13133157,-73.63803138,2395
4.158378329,-73.63694298,2395
4.13538608,-73.61516041,2395
4.14072531,-73.62406689,2393
4.079999262,-73.66939437,2395
4.124763942,-73.62718976,2395
4.138263534,-73.63048229,2395
4.151525859,-73.59407258,2395
4.070314215,-73.67173326,2396
4.080442526,-73.66922593,2395
4.081298026,-73.67041846,2395
4.08267565,-73.66643003,2395
4.101541689,-73.65655349,2395
4.10235353,-73.65183353,2396
4.105639701,-73.65048267,2395
4.107534124,-73.65211022,2395
4.1090216,-73.65467441,2395
4.113398297,-73.6065809,2395
4.116820565,-73.59918525,2395
4.118438472,-73.62798519,2395
4.119230535,-73.65012538,2395
4.120001015,-73.61581456,2395
4.122792888,-73.62647601,2395
4.123033196,-73.61272798,2395
4.124037673,-73.62860482,2395
4.127767844,-73.5438503,2395
4.127962063,-73.56899392,2395
4.129757014,-73.60334884,2396
4.131048221,-73.62977646,2396
4.131258503,-73.6289252,2395
4.133001144,-73.63427206,2395
4.133629519,-73.63347352,2395
4.133676916,-73.60538613,2396
4.134074493,-73.63150908,2395
4.134212022,-73.61230395,2395
4.136101047,-73.58647213,2396
4.138425,-73.62161242,2395
4.138563478,-73.58421814,2395
4.140408402,-73.61071496,2395
4.141124725,-73.62083566,2395
4.142313815,-73.58575117,2395
4.145469166,-73.6380402,2395
4.145790271,-73.64218604,2395
4.146753339,-73.58912122,2396
4.147780611,-73.62070691,2395
4.148128666,-73.6408729,2395
4.148529662,-73.62679016,2395
4.150585796,-73.61546125,2395
4.151186884,-73.62541258,2395
4.151565311,-73.61541786,2395
4.152491503,-73.63456529,2395
4.152625906,-73.63464289,2395
4.154679237,-73.6209485,2395
4.132386693,-73.59066122,2393
4.135735714,-73.63638695,2393
4.132363698,-73.6275841,2394
4.064318048,-73.66742122,2395
4.112553007,-73.63109243,2395
4.127493727,-73.54647911,2395
4.130045391,-73.63012523,2395
4.133898853,-73.61031604,2395
4.143556856,-73.63032805,2395
4.151773794,-73.63434326,2395
4.158195353,-73.66124046,2395
4.160396064,-73.64605854,2395
4.170188917,-73.62120044,2396
3.915522667,-73.685112,2391
3.934153425,-73.68747235,2395
3.9563523,-73.79004002,2394
3.961832355,-73.78167153,2396
3.970737367,-73.7730872,2394
3.971957517,-73.80205632,2394
3.974376407,-73.76757384,2396
3.974911558,-73.78287316,2395
3.975981861,-73.7619412,2393
3.979256976,-73.75733853,2395
3.980284461,-73.74961377,2394
3.981033668,-73.74918461,2396
3.981226321,-73.75785351,2395
3.981740062,-73.7209034,2395
3.982853167,-73.75832558,2394
3.983089957,-73.76229726,2395
3.983238472,-73.76325012,2394
3.983677292,-73.76881838,2395
3.983730806,-73.76641512,2393
3.984244546,-73.76537443,2395
3.985282727,-73.773067,2395
3.985742951,-73.7667799,2395
3.985796466,-73.76260639,2395
3.986498416,-73.75884837,2395
3.986641993,-73.77037406,2395
3.986770428,-73.76238108,2393
3.986927473,-73.7794332,2396
3.987380491,-73.75960231,2395
3.987576644,-73.7691491,2393
3.987669469,-73.76327158,2395
3.987755092,-73.77733708,2396
3.988033366,-73.76755238,2395
3.988173909,-73.7640302,2395
3.98906084,-73.76407624,2691
3.990783996,-73.75498891,2395
3.990944538,-73.75472069,2396
3.991923845,-73.78364564,2395
3.993149316,-73.78038407,2396
3.993378384,-73.77962664,2396
3.993418431,-73.76508996,2394
3.994455055,-73.76939774,2395
3.99505441,-73.76823903,2394
3.996424363,-73.76506329,2395
3.996789662,-73.7680857,2395
3.996873879,-73.79536152,2395
3.997644476,-73.76342178,2394
3.998399018,-73.76948894,2395
4.000598424,-73.82136822,2394
4.00094091,-73.77471924,2395
4.002353664,-73.78849507,2396
4.003680794,-73.78772259,2393
4.005007922,-73.75969887,2391
4.005735701,-73.7706852,2396
4.00802606,-73.77244473,2395
4.008047465,-73.77506257,2396
4.010530463,-73.78386021,2395
4.013398745,-73.76291752,2391
4.018065033,-73.76137257,2396
4.046951902,-73.76790654,2395
3.975853424,-73.7511158,2691
3.979385412,-73.76107216,2395
3.983903458,-73.77036022,2392
3.984351575,-73.76553536,2395
3.985401865,-73.77623962,2395
3.986641993,-73.77132893,2396
3.997130744,-73.75472069,2394
4.003830631,-73.77437592,2396
4.024700534,-73.77523423,2396
3.985389756,-73.77733708,2394
4.020806331,-73.7866217,2395
3.979685095,-73.75261784,2393
3.980530629,-73.76583577,2396
3.981226321,-73.74695302,2393
3.981397568,-73.76523495,2395
3.985678734,-73.75484944,2395
3.985732249,-73.77644659,2394
3.985764357,-73.76738072,2395
3.985807169,-73.7606001,2395
3.985807169,-73.76047135,2394
3.985914198,-73.76377583,2393
3.985962361,-73.76977861,2396
3.986085444,-73.76231671,2393
3.986449342,-73.76156569,2395
3.986470747,-73.76053572,2394
3.986641993,-73.7574029,2395
3.986877457,-73.77025605,2395
3.986941674,-73.76132966,2395
3.987348383,-73.75848651,2395
3.987476817,-73.76210213,2395
3.987567792,-73.77136916,2393
3.987926337,-73.76111508,2394
3.987947743,-73.75733853,2395
3.988033366,-73.76343251,2393
3.988547103,-73.76373292,2395
3.989103651,-73.76519204,2395
3.989232085,-73.77699376,2393
3.989911715,-73.75457049,2396
3.99091243,-73.75438273,2396
3.991353921,-73.77817125,2396
3.991415462,-73.77330304,2393
3.991715141,-73.75454903,2395
3.992614176,-73.78767968,2395
3.993079336,-73.74636394,2394
3.994471109,-73.78154278,2396
3.994968788,-73.76484871,2395
3.995760793,-73.76416207,2395
3.995889226,-73.75785351,2394
3.997965557,-73.76635075,2395
3.99809399,-73.76351834,2395
3.999335505,-73.75506402,2394
4.001415652,-73.76318421,2394
4.002053989,-73.77439738,2395
3.981037491,-73.74927303,2391
3.98125155,-73.74794266,2391
3.981675844,-73.74871254,2391
3.9874126,-73.7343359,2391
3.995204249,-73.72832776,2391
4.006895407,-73.78394863,2391
4.013112385,-73.77478652,2394
3.976118699,-73.7611879,2395
3.984796827,-73.7603507,2395
3.985084435,-73.76907089,2395
3.988392237,-73.76603252,2691
3.988833726,-73.77271832,2395
3.990638728,-73.75706381,2396
3.995258943,-73.76523184,2396
3.975575146,-73.76873255,2396
3.975617958,-73.76476288,2394
3.975896236,-73.76196266,2393
3.977137785,-73.7684536,2395
3.977951213,-73.7572527,2393
3.979373551,-73.7568446,2395
3.979428224,-73.75695229,2391
3.980466411,-73.76397968,2394
3.980733985,-73.76467705,2393
3.981927363,-73.7625742,2395
3.982189585,-73.75931263,2394
3.982414347,-73.76565874,2691
3.982574891,-73.76637221,2394
3.983356204,-73.76947284,2396
3.983388313,-73.77871037,2396
3.983413161,-73.76323816,2395
3.98350191,-73.75023644,2395
3.983752212,-73.77509475,2395
3.984544227,-73.77207131,2395
3.984822503,-73.76821757,2395
3.985046166,-73.76093903,2395
3.985170347,-73.76174359,2395
3.98624648,-73.76481404,2393
3.986288798,-73.7667048,2394
3.986342313,-73.75965596,2396
3.98634884,-73.76045504,2395
3.986353016,-73.75770331,2395
3.986449342,-73.76231671,2395
3.986512077,-73.77068584,2396
3.986652696,-73.76220942,2393
3.986735777,-73.76138589,2395
3.987093406,-73.75954412,2395
3.98711292,-73.77564192,2396
3.987390597,-73.76418947,2393
3.988036892,-73.7636104,2395
3.988076177,-73.76866818,2393
3.988121586,-73.77056902,2392
3.988273545,-73.77421386,2396
3.988547103,-73.77343178,2395
3.988809323,-73.77601207,2394
3.98903392,-73.74965742,2395
3.989510359,-73.76983762,2394
3.990464652,-73.75711122,2395
3.99068767,-73.76366854,2395
3.99076259,-73.75754238,2395
3.990965944,-73.77506257,2394
3.991222811,-73.76807809,2393
3.99170954,-73.76105543,2395
